datetime,event,delta_post_fc,post_pips,post_max_pips,post_min_pips,post_mean_pips,post_sum_pips,previous,forecast,actual
2019-08-13 15:30:00,Core CPI (MoM)  (Jul),0.2% vs 0.3%,-30.69999999999906,13.199999999999878,-45.199999999998575,-1.9249999999999825,-30.79999999999972,0.3%,0.2%,0.3%
2019-08-13 15:30:00,CPI (YoY)  (Jul),1.7% vs 1.6%,-30.69999999999906,13.199999999999878,-45.199999999998575,-1.9249999999999825,-30.79999999999972,1.6%,1.7%,1.8%
2019-08-13 15:30:00,CPI (MoM)  (Jul),0.3% vs 0.1%,-30.69999999999906,13.199999999999878,-45.199999999998575,-1.9249999999999825,-30.79999999999972,0.1%,0.3%,0.3%
2019-08-15 15:30:00,Core Retail Sales (MoM)  (Jul),0.4% vs 0.3%,-28.700000000001506,17.300000000000093,-33.700000000000955,-1.7812499999998732,-28.49999999999797,0.3%,0.4%,1.0%
2019-08-15 15:30:00,Initial Jobless Claims,214K vs 211K,-28.700000000001506,17.300000000000093,-33.700000000000955,-1.7812499999998732,-28.49999999999797,211K,214K,220K
2019-08-15 15:30:00,Retail Sales (MoM)  (Jul),0.3% vs 0.3%,-28.700000000001506,17.300000000000093,-33.700000000000955,-1.7812499999998732,-28.49999999999797,0.3%,0.3%,0.7%
2019-08-22 15:30:00,Initial Jobless Claims,216K vs 221K,7.500000000000284,24.599999999999067,-24.900000000001032,0.4562500000000746,7.300000000001194,221K,216K,209K
2019-08-29 15:30:00,GDP (QoQ)  (Q2),2.0% vs 2.1%,-18.199999999999328,6.6000000000010495,-24.999999999999467,-1.1875000000001468,-19.00000000000235,2.1%,2.0%,2.0%
2019-08-29 15:30:00,Initial Jobless Claims,215K vs 211K,-18.199999999999328,6.6000000000010495,-24.999999999999467,-1.1875000000001468,-19.00000000000235,211K,215K,215K
2019-08-30 15:30:00,Core PCE Price Index (MoM)  (Jul),0.3% vs 0.2%,-13.499999999999623,2.40000000000018,-24.69999999999972,-0.87500000000032,-14.00000000000512,0.2%,0.3%,0.2%
2019-08-30 15:30:00,Core PCE Price Index (YoY)  (Jul),1.6% vs 1.6%,-13.499999999999623,2.40000000000018,-24.69999999999972,-0.87500000000032,-14.00000000000512,1.6%,1.6%,1.6%
2019-09-03 17:00:00,ISM Manufacturing PMI  (Aug),51.1 vs 51.2,-2.5999999999992696,9.20000000000032,-43.400000000000105,-0.1722222222219935,-3.099999999995884,51.2,51.1,49.1
2019-09-05 15:15:00,ADP Nonfarm Employment Change  (Aug),148K vs 142K,47.09999999999992,50.40000000000156,-17.699999999998273,2.893749999999668,46.29999999999468,142K,148K,195K
2019-09-05 15:30:00,Initial Jobless Claims,215K vs 216K,47.09999999999992,50.40000000000156,-17.699999999998273,2.893749999999668,46.29999999999468,216K,215K,217K
2019-09-05 17:00:00,ISM Non-Manufacturing PMI  (Aug),54.0 vs 53.7,3.300000000001635,50.40000000000156,-17.699999999998273,0.127777777777628,2.299999999997304,53.7,54.0,56.4
